Author,Genre,Name,Year,Price,Reviews,User Rating
Margaret Wise Brown,Fiction,Goodnight Moon,2019,5,8837,4.8
Sherri Duskey Rinker,Fiction,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2012,7,7038,4.9
Sherri Duskey Rinker,Fiction,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",2013,7,7038,4.9
David Perlmutter MD,Non Fiction,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",2014,10,5972,4.6
E L James,Fiction,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),2015,14,25624,4.4
Raina Telgemeier,Non Fiction,Guts,2019,7,5476,4.8
Lin-Manuel Miranda,Non Fiction,Hamilton: The Revolution,2016,54,5867,4.9
Phil Robertson,Non Fiction,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",2013,11,4148,4.8
J.K. Rowling,Fiction,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",2016,30,19622,4.9
J.K. Rowling,Fiction,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",2016,12,23973,4
J. K. Rowling,Fiction,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",2019,18,7758,4.9
J.K. Rowling,Fiction,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",2017,30,3146,4.9
J.K. Rowling,Fiction,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",2016,22,10052,4.9
Scholastic,Non Fiction,Harry Potter Coloring Book,2015,9,3564,4.7
J. K. Rowling,Fiction,Harry Potter Paperback Box Set (Books 1-7),2016,52,13471,4.8
Mitch Albom,Non Fiction,Have a Little Faith: A True Story,2009,4,1930,4.8
Todd Burpo,Non Fiction,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2011,10,15779,4.7
Todd Burpo,Non Fiction,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,2012,10,15779,4.7
J. D. Vance,Non Fiction,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2016,14,15526,4.4
J. D. Vance,Non Fiction,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,2017,14,15526,4.4
Joanna Gaines,Non Fiction,Homebody: A Guide to Creating Spaces You Never Want to Leave,2018,22,3776,4.8
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2014,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2015,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2016,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2017,11,25001,4.7
Dale Carnegie,Non Fiction,How to Win Friends & Influence People,2018,11,25001,4.7
Howard Stern,Non Fiction,Howard Stern Comes Again,2019,16,5272,4.3
Brandon Stanton,Non Fiction,Humans of New York,2013,15,3490,4.8
Brandon Stanton,Non Fiction,Humans of New York,2014,15,3490,4.8
Brandon Stanton,Non Fiction,Humans of New York : Stories,2015,17,2812,4.9
Allie Brosh,Non Fiction,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",2013,17,4896,4.7
Hopscotch Girls,Non Fiction,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",2019,7,9737,4.8
James Patterson,Fiction,"I, Alex Cross",2009,7,1320,4.6
Ann Whitford Paul,Fiction,If Animals Kissed Good Night,2017,4,16643,4.8
Ann Whitford Paul,Fiction,If Animals Kissed Good Night,2019,4,16643,4.8
Gayle Forman,Fiction,If I Stay,2014,9,7153,4.3
Eric Larson,Non Fiction,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",2011,21,4571,4.4
Dan Brown,Fiction,Inferno,2013,14,29651,4.1
Christopher Paolini,Fiction,Inheritance: Book IV (Inheritance Cycle),2011,20,5299,4.6
Jennifer Smith,Non Fiction,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,2019,13,7396,4.4
Jennifer Smith,Non Fiction,Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthyâ€¦,2018,13,7396,4.4
Lysa TerKeurst,Non Fiction,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,2019,12,7062,4.8
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2011,8,19576,4.9
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2012,8,19576,4.9
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2013,8,19576,4.9
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2014,8,19576,4.9
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2015,8,19576,4.9
Sarah Young,Non Fiction,Jesus Calling: Enjoying Peace in His Presence (with Scripture References),2016,8,19576,4.9
RH Disney,Fiction,JOURNEY TO THE ICE P,2014,0,978,4.6
Stephen King,Fiction,Joyland (Hard Case Crime),2013,12,4748,4.5
David Grann,Non Fiction,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,2017,17,8393,4.6
Bill O'Reilly,Non Fiction,Killing Jesus (Bill O'Reilly's Killing Series),2013,12,11391,4.5
Bill O'Reilly,Non Fiction,Killing Kennedy: The End of Camelot,2012,25,8634,4.6
Bill O'Reilly,Non Fiction,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),2011,10,9342,4.7
Bill O'Reilly,Non Fiction,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),2012,10,9342,4.7
Bill O'Reilly,Non Fiction,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),2014,6,10927,4.6
Bill O'Reilly,Non Fiction,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),2015,5,5235,4.6
Bill O'Reilly,Non Fiction,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),2016,6,8916,4.8
Anthony Bourdain,Non Fiction,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),2018,8,2507,4.8
Rob Elliott,Non Fiction,Knock-Knock Jokes for Kids,2013,4,3673,4.5
Rob Elliott,Non Fiction,Knock-Knock Jokes for Kids,2014,4,3673,4.5
Rob Elliott,Non Fiction,Knock-Knock Jokes for Kids,2015,4,3673,4.5
Jill Twiss,Fiction,"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT ChildrenÂ’s Book)",2018,13,11881,4.9
Rob Elliott,Non Fiction,Laugh-Out-Loud Jokes for Kids,2013,4,6990,4.6
Rob Elliott,Non Fiction,Laugh-Out-Loud Jokes for Kids,2014,4,6990,4.6
Rob Elliott,Non Fiction,Laugh-Out-Loud Jokes for Kids,2015,4,6990,4.6
Rob Elliott,Non Fiction,Laugh-Out-Loud Jokes for Kids,2016,4,6990,4.6
Rob Elliott,Non Fiction,Laugh-Out-Loud Jokes for Kids,2017,4,6990,4.6
Sheryl Sandberg,Non Fiction,"Lean In: Women, Work, and the Will to Lead",2013,13,6132,4.5
Walter Isaacson,Non Fiction,Leonardo da Vinci,2017,21,3014,4.5
Paper Peony Press,Non Fiction,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,2018,6,7550,4.4
